# Time (sec), Throttle (0-1), Engine On (0 or 1), GimbalX (deg), GimbalY (deg), GridX (deg), GridY (deg)
0, 0, 0, 0, 0, 0, 0
10, 0, 0, 0, 0, 10, 10
30, 0, 0, 0, 0, -10, -10
50, 0, 0, 0, 0, 0, 0
